"time","requesttype","neighborhood","nrequests","nsolved","pcsolved","avgresptime","pcsolvedin3","pcsolvedin5","rankrt","rankpcs3","rankpcs5"
"All time","All","Airport",7283,6863,94.2331456817246,39.8505780769794,23.8775229987642,27.7495537553206,189,191,191
"All time","All","Allerton/Pelham Gardens",51934,49106,94.5546270266107,40.8733102253033,53.1886625332152,59.7065506219432,190,75,87
"All time","All","Annadale/Huguenot/Prince's Bay/Eltingville",58957,55201,93.629255219906,26.0088050549615,59.0786505419204,65.8768254829791,161,20,18
"All time","All","Arden Heights",41937,39760,94.8088799866466,24.8750639778892,61.7378448625319,68.7674368695901,149,4,3
"All time","All","Astoria",163110,158449,97.142419226289,19.5648886111784,52.7840107902642,60.2623996076268,59,80,80
"All time","All","Auburndale",41025,39443,96.1438147471054,30.1601935399503,55.3784277879342,61.7964655697745,184,49,63
"All time","All","Baisley Park",77405,74826,96.6681738905755,18.3916934656175,55.846521542536,62.1652348039532,44,44,57
"All time","All","Bath Beach",57608,56165,97.4951395639495,24.5568523621693,53.4890987362866,62.9166088043327,146,71,49
"All time","All","Battery Park City/Lower Manhattan",90385,87122,96.3898877026055,17.8991381913633,52.2299054046578,60.3485091552802,39,85,79
"All time","All","Bay Ridge",176008,171285,97.3165992454888,25.0862149325939,51.849915912913,61.1972183082587,152,89,70
"All time","All","Bayside/Bayside Hills",86450,83334,96.3956043956044,28.0161180589058,54.7356853672643,60.7333718912666,177,60,74
"All time","All","Bedford",198239,192766,97.2391910774368,23.3738684669857,43.945944037248,54.1992241688063,126,137,136
"All time","All","Bedford Park/Fordham North",212673,207821,97.7185632402797,16.2797803068362,34.679061281874,48.4452657366003,17,183,174
"All time","All","Bellerose",46567,44649,95.8812034273198,31.7357131274757,53.6581699486761,59.4326454356089,187,69,90
"All time","All","Belmont",91146,88670,97.2834792530665,15.7766274367659,35.9993856011235,49.1453272771158,10,178,167
"All time","All","Bensonhurst East",112264,109267,97.3303997719661,24.0449321275302,52.9537518705908,61.8702344473741,139,78,62
"All time","All","Bensonhurst West",160233,156345,97.5735335417798,23.6516662361147,51.5174776731385,61.104142093077,132,93,71
"All time","All","Borough Park",178790,174018,97.3309469209687,24.4699515112802,55.2598020023491,63.361485541697,144,51,46
"All time","All","Breezy Point/Belle Harbor/Rockaway Park/Broad Channel",2132,2096,98.3114446529081,30.3116119549241,55.0187617260788,59.7560975609756,185,53,85
"All time","All","Briarwood/Jamaica Hills",68027,66062,97.1114410454672,20.4505835380835,52.2483719699531,59.4616843312214,80,84,89
